ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"TRUE\" Indexed=\"TRUE\" />","<Field Type=\"Choice\" DisplayName=\"Platform\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_1\" Name=\"field_1\" ID=\"{6ee51ccb-ff18-4ca2-928c-9eb794dfa8af}\"><CHOICES /></Field>","<Field Type=\"Choice\" DisplayName=\"Version Found\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_2\" Name=\"field_2\" ID=\"{c08685f2-380a-42ca-8d8d-1750a05bbc96}\"><CHOICES /></Field>","<Field Type=\"Text\" DisplayName=\"Build Fixed\" Name=\"field_3\" ID=\"{4a0b6493-947c-408d-b1eb-e21472d65bcf}\" StaticName=\"field_3\" />","<Field Type=\"Choice\" DisplayName=\"Functionality\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"TRUE\" StaticName=\"field_4\" Name=\"field_4\" ID=\"{94fc4227-92d7-49a8-97a2-6f87708cae9e}\"><CHOICES /></Field>","<Field ID=\"{4ee09c9c-567b-4bb6-b399-ae40e1afd982}\" DisplayName=\"Issue Title\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Note\" />","<Field ID=\"{820545f3-5000-4335-9c69-9e6885a1aa5c}\" DisplayName=\"Summary\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Note\" />","<Field ID=\"{28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f}\" ReadOnly=\"TRUE\" Type=\"DateTime\" Name=\"Modified\" DisplayName=\"Modified\" StorageTZ=\"TRUE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Modified\" FromBaseType=\"TRUE\" Indexed=\"TRUE\" AutoIndexed=\"TRUE\" />","<Field AppendOnly=\"FALSE\" Description=\"Internal Comment field&#xA;Can place case links, notes or further info about JIRA/SCR here\" DisplayName=\"Internal Comments\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"InternalComments\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Internal Comments\" Type=\"Note\" ID=\"{90423312-42b4-4997-8b72-f46231360718}\" StaticName=\"InternalComments\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Ticket\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Title","Platform","Version Found","Build Fixed","Functionality","Issue Title","Summary","Internal Comments"
"SBPPA-14033","Unknown",,"25.1.9.1000","Configuration","Resolved an issue where changes to user group assignments were not being applied immediately.","Resolved an issue where changes to user group assignments were not being applied immediately, resulting in delayed permission updates or access inconsistencies.",
"NILE-4251","Unknown",,"25.1.9.1000","Custom Queries","Internet Statement Server will return the expected xml hit list when making a query to hfscustomquery.aspx","Internet Statement Server will return the expected xml hit list when making a query to hfscustomquery.aspx",
"PACK-14289","Unknown",,"25.1.9.1000","Document Packaging","The time taken to generate packets has been significantly reduced when Contents are added in the Documents Sets","The defect has been fixed and now time taken to generate packets has been significantly reduced when Contents are added in the Documents Sets",
"CO-514","Unknown",,"25.1.9.1000","Express Scanning","Improved zooming behavior in Express Scanning client.","Improved zooming behavior in Express Scanning client.  Previously, if you zoom out and then zoom in, the client could zoom out.  Issue more noticeable on smaller images.",
"HC-218251","Unknown",,"25.1.9.1000","HL7","Correction for an extra tilde being inserted into certain outbound messages containing repeating segments","In certain cases an extra tilde would be inserted following a field that was configured to repeat.  This was found to occur when a field was configured to repeat, but only one value was available to be sent in the HL7 message.",
"HC-218644","Unknown",,"25.1.9.1000","HL7","Document Keywords Now Update Correctly When 'Always Propagate Patient Information' and 'Update Existing Documents' Options Are Both Enabled","An issue has been resolved that prevented keyword updates from being propagated to documents as expected.  This issue could occur when the 'Always Propagate Patient Information' and 'Update Existing Documents' options are enabled and patient records contained information matching the inbound update message, but attached documents had incorrect keywords that needed to be updated.",
"CONFIG-2874","Unknown",,"25.1.9.1000","Import/Export Framework","Resolved Error on shared class related configuration when performing Studio export in 23.1 and higher","Updated code to correct an error on shared-class-related configuration when performing an export in Studio in OnBase Foundation 23.1 and higher. Currently, we are able to export the package, and no errors are showing.",
"HC-218463","Unknown",,"25.1.9.1000","Medical Records","Resolved Performance Issue When Assigning Release of Information Requests","A performance issue that caused Release of Information to become unresponsive when assigning requests has been resolved. Previously, in environments with large amounts of configured Users, Facilities and Templates, clicking ""Assign"" could cause the application to load for excessive periods of time, potentially resulting in a timeout that required the user to reconnect.",
"CSFPR-9175","Unknown",,"25.1.9.1000","Unity Client","After navigating to another document, document locks do not stay on the initial document when notes or cross-references are open on the Document Information Panel.","An error has been resolved in the Unity Client for document locks working incorrectly. Previously, if a document is open in a viewer along with the notes and cross references in DIP, if the user navigates to a different document, the first document would be locked.",
"SBPOF-8803","Unknown",,"25.1.9.1000","Unity Forms","Addressed a defect where Submitting a Unity Form caused the Unity Client to crash. ","A critical issue has been resolved where submitting a Unity Form caused the Unity Client to crash in specific use cases due to an external 3rd party library. This release improves user experience and stability during form submissions.",
"PACK-14335","Unknown",,"25.1.9.1000","Unity Web Controls","Fixed a defect to make The Send To feature work with New Outlook for Windows in Unity Client","The Send To feature now works with New Outlook for Windows in Unity Client. No exception error message gets thrown.",
"IND-6271","Unknown",,"25.1.9.1000","Viewer-Web","Optimized the size of App Server installer","Unnecessary files have been removed from the HyRCS build output, reducing install size by good amount for faster, leaner deployments.",
"IND-6355","Unknown",,"25.1.9.1000","Viewer-Web","Defect Fix for storing file in original formal during scanning","A defect was fixed where files scanned were saved in a format different than the original.",
"SBPOF-7264","Unknown",,"25.1.7.1000","Unity Forms","Fix for Date&Time Field Formatting Issue in Unity Forms.","Resolved an issue where the Date&Time field displayed incorrect formatting after executing a Custom Action Event Script in Unity Forms. This fix ensures that the field values are correctly applied, allowing users to submit forms without formatting errors.",
"HC-217845","Unknown",,"25.1.6.1000","Deficiency Pop","Performance fix for Physicians who have been assigned a large amount of deficiencies","A performance issue has been resolved that prevented Physicians with a large amount of pending/unsigned Deficiencies from being able to access and interact with their assigned deficiencies in a reasonable amount of time.",
"SBPPA-13487","Unknown",,"25.1.6.1000","Document Composition","Bug fix for Image Rendering Issue Across Multiple Template Sections Using Image Fragment Master","This fix resolves an issue where Document Fragments that used the same image—via an Image Fragment Master—in multiple template sections (such as the Header, Footer, and Body) failed to render correctly. In such cases, one of the sections would typically display the message: “The picture can't be displayed.”",
"HC-218320","Unknown",,"25.1.6.1000","HL7","Fix for HL7 ACKs not processing correctly","A defect has been resolved that causes OnBase to not read the last character in the HL7 ACK received from the customer.  Messages are showing as unsent/failed with ""Error, no bytes received for HL7 ACK"" in HL7 Event Log.  This defect did not stop HL7 sending, but it did cause an issue with the ACK.",
